speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide
minf01	E		591.0719428226	1989.8733730851	2527.3747736631			
minf01	e		540.5380614436	1837.955371416	2487.1924315918			
minf01	U		417.0616093754	925.4573895589	3059.0006733826			
minf01	e		596.9798930974	1797.1288011242	2235.4049223038			
minf01	a		909.4102023893	1266.2388895656	3133.2428409317			
minf01	u		397.2475346314	1140.0503855962	2250.2967220713			
minf01	I		304.5451654766	2198.7322460872	2522.4546861913			
minf01	a		871.4988534926	1321.5152041139	3021.4089187701			
minf01	I		259.1322238148	2160.8665013367	2980.4279595287			
minf01	o		528.5557893499	895.3479428236	2927.7360361353			
minf01	I		281.7829548861	2119.7531573772	3002.317281439			
minf01	o		533.6287766081	959.187319227	2935.4031563832			
minf01	A		879.0071170328	1267.9717114737	2727.8016583025			
minf01	a		784.1932708696	1320.770849017	2781.7347484669			
minf01	u		440.3150523312	1002.41590326	3363.4584304849			
minf01	I		287.9301671217	2172.5853356089	2940.5107144494			
minf01	e		609.5871819573	1652.8114546357	2258.072698217			
